date,open,high,low,close,volume,symbol
2023-10-05,173.79,175.45,172.68,174.91,48527918,AAPL
2023-10-06,173.8,177.99,173.18,177.49,57266675,AAPL
2023-10-09,176.81,179.05,175.8,178.99,42390772,AAPL
2023-10-10,178.1,179.72,177.95,178.39,43698019,AAPL
2023-10-11,178.2,179.85,177.6,179.8,47551098,AAPL
2023-10-12,180.07,182.34,179.04,180.71,56743119,AAPL
2023-10-13,181.42,181.93,178.14,178.85,51456082,AAPL
2023-10-16,176.75,179.075,176.51,178.72,52516984,AAPL
2023-10-17,176.645,178.42,174.8,177.15,57549350,AAPL
2023-10-18,175.58,177.575,175.11,175.84,54764375,AAPL
2023-10-19,176.04,177.84,175.19,175.46,59302863,AAPL
2023-10-20,175.31,175.42,172.64,172.88,64244028,AAPL
2023-10-23,170.91,174.01,169.93,173.0,55980109,AAPL
2023-10-24,173.05,173.67,171.45,173.44,43816644,AAPL
2023-10-25,171.88,173.06,170.65,171.1,57156962,AAPL
2023-10-26,170.37,171.3775,165.67,166.89,70625258,AAPL
2023-10-27,166.91,168.96,166.83,168.22,58499129,AAPL
2023-10-30,169.02,171.17,168.87,170.29,51130955,AAPL
2023-10-31,169.35,170.9,167.9,170.77,44846017,AAPL
2023-11-01,171.0,174.23,170.12,173.97,56934906,AAPL
2023-11-02,175.52,177.78,175.46,177.57,77334752,AAPL
2023-11-03,174.24,176.82,173.35,176.65,79829246,AAPL
2023-11-06,176.38,179.43,176.21,179.23,63841310,AAPL
2023-11-07,179.18,182.44,178.97,181.82,70529966,AAPL
2023-11-08,182.35,183.45,181.59,182.89,49340282,AAPL
2023-11-09,182.96,184.12,181.81,182.41,53763540,AAPL
2023-11-10,183.97,186.565,183.53,186.4,66177922,AAPL
2023-11-13,185.82,186.03,184.21,184.8,43627519,AAPL
2023-11-14,187.7,188.11,186.3,187.44,60108378,AAPL
2023-11-15,187.845,189.5,187.78,188.01,53790499,AAPL
2023-11-16,189.57,190.96,188.65,189.71,54412915,AAPL
2023-11-17,190.25,190.38,188.57,189.69,50941404,AAPL
2023-11-20,189.89,191.905,189.88,191.45,46538614,AAPL
2023-11-21,191.41,191.52,189.74,190.64,38134485,AAPL
2023-11-22,191.49,192.93,190.825,191.31,39630011,AAPL
2023-11-24,190.87,190.9,189.25,189.97,24048344,AAPL
2023-11-27,189.92,190.67,188.9,189.79,40552609,AAPL
2023-11-28,189.78,191.08,189.4,190.4,38415419,AAPL
2023-11-29,190.9,192.09,188.97,189.37,43014224,AAPL
2023-11-30,189.84,190.32,188.19,189.95,48794366,AAPL
2023-12-01,190.33,191.56,189.23,191.24,45704823,AAPL
2023-12-04,189.98,190.05,187.4511,189.43,43389519,AAPL
2023-12-05,190.21,194.4,190.18,193.42,66628398,AAPL
2023-12-06,194.45,194.76,192.11,192.32,40895115,AAPL
2023-12-07,193.63,195.0,193.59,194.27,47477655,AAPL
2023-12-08,194.2,195.99,193.67,195.71,53406358,AAPL
2023-12-11,193.11,193.49,191.42,193.18,60943699,AAPL
2023-12-12,193.08,194.72,191.721,194.71,52696900,AAPL
2023-12-13,195.09,198.0,194.85,197.96,70404183,AAPL
2023-12-14,198.02,199.62,196.16,198.11,66831572,AAPL
2023-12-15,197.53,198.3999,197.0,197.57,128538401,AAPL
2023-12-18,196.09,196.63,194.39,195.89,55751861,AAPL
2023-12-19,196.16,196.95,195.89,196.94,40233138,AAPL
2023-12-20,196.9,197.68,194.83,194.83,52242815,AAPL
2023-12-21,196.1,197.08,193.5,194.68,46482549,AAPL
2023-12-22,195.18,195.41,192.97,193.6,37149570,AAPL
2023-12-26,193.61,193.89,192.83,193.05,28919310,AAPL
2023-12-27,192.49,193.5,191.09,193.15,47899806,AAPL
2023-12-28,194.14,194.66,193.17,193.58,34049898,AAPL
2023-12-29,193.9,194.4,191.725,192.53,42672148,AAPL
2024-01-02,187.15,188.44,183.885,185.64,82488674,AAPL
2024-01-03,184.22,185.88,183.43,184.25,58414460,AAPL
2024-01-04,182.15,183.0872,180.88,181.91,71983570,AAPL
2024-01-05,181.99,182.76,180.17,181.18,62196924,AAPL
2024-01-08,182.085,185.6,181.5,185.56,59144470,AAPL
2024-01-09,183.92,185.15,182.73,185.14,42841809,AAPL
2024-01-10,184.35,186.4,183.92,186.19,46792908,AAPL
2024-01-11,186.54,187.05,183.62,185.59,49128408,AAPL
2024-01-12,186.06,186.74,185.19,185.92,40477782,AAPL
2024-01-16,182.16,184.26,180.934,183.63,65603041,AAPL
2024-01-17,181.27,182.93,180.3,182.68,47317433,AAPL
2024-01-18,186.09,189.14,185.83,188.63,78005754,AAPL
2024-01-19,189.33,191.95,188.82,191.56,68902985,AAPL
2024-01-22,192.3,195.33,192.26,193.89,60133852,AAPL
2024-01-23,195.02,195.75,193.8299,195.18,42355590,AAPL
2024-01-24,195.42,196.38,194.34,194.5,53463269,AAPL
2024-01-25,195.22,196.2675,193.1125,194.17,54822126,AAPL
2024-01-26,194.27,194.76,191.94,192.42,44594011,AAPL
2024-01-29,192.01,192.2,189.58,191.73,47145622,AAPL
2024-01-30,190.94,191.8,187.47,188.04,55859370,AAPL
2024-01-31,187.04,187.095,184.35,184.4,55467803,AAPL
2024-02-01,183.985,186.95,183.82,186.86,64885408,AAPL
2024-02-02,179.86,187.33,179.25,185.85,102551680,AAPL
2024-02-05,188.15,189.25,185.84,187.68,69668820,AAPL
2024-02-06,186.86,189.31,186.7695,189.3,43490759,AAPL
2024-02-07,190.64,191.05,188.61,189.41,53438955,AAPL
2024-02-08,189.385,189.535,187.35,188.32,40962046,AAPL
2024-02-09,188.65,189.99,188.0,188.85,45155216,AAPL
2024-02-12,188.415,188.67,186.79,187.15,41781934,AAPL
2024-02-13,185.77,186.21,183.5128,185.04,56529529,AAPL
2024-02-14,185.32,185.53,182.44,184.15,54630517,AAPL
2024-02-15,183.55,184.49,181.35,183.86,65434496,AAPL
2024-02-16,183.42,184.85,181.665,182.31,49752465,AAPL
2024-02-20,181.79,182.43,180.0,181.56,53665553,AAPL
2024-02-21,181.94,182.8888,180.66,182.32,41529674,AAPL
2024-02-22,183.48,184.955,182.46,184.37,52292208,AAPL
2024-02-23,185.01,185.04,182.23,182.52,45119677,AAPL
2024-02-26,182.24,182.76,180.65,181.16,40867421,AAPL
2024-02-27,181.1,183.9225,179.56,182.63,54318851,AAPL
2024-02-28,182.51,183.12,180.13,181.42,48953939,AAPL
2024-02-29,181.27,182.57,179.53,180.75,136682597,AAPL
2024-03-01,179.55,180.53,177.38,179.66,73563082,AAPL
2024-03-04,176.15,176.9,173.79,175.1,81510101,AAPL
2024-03-05,170.76,172.04,169.62,170.12,95132355,AAPL
2024-03-06,171.06,171.24,168.68,169.12,68587707,AAPL
2024-03-07,169.15,170.73,168.49,169.0,71765061,AAPL
2024-03-08,169.0,173.7,168.94,170.73,76267041,AAPL
2024-03-11,172.94,174.38,172.05,172.75,58929918,AAPL
2024-03-12,173.15,174.03,171.01,173.23,59544927,AAPL
2024-03-13,172.77,173.185,170.76,171.13,51948951,AAPL
2024-03-14,172.91,174.3078,172.05,173.0,72571635,AAPL
2024-03-15,171.17,172.62,170.285,172.62,121752699,AAPL
2024-03-18,175.57,177.71,173.52,173.72,75604184,AAPL
2024-03-19,174.34,176.605,173.03,176.08,55215244,AAPL
2024-03-20,175.72,178.67,175.09,178.67,53423102,AAPL
2024-03-21,177.05,177.49,170.84,171.37,106181270,AAPL
2024-03-22,171.76,173.05,170.06,172.28,71160138,AAPL
2024-03-25,170.565,171.94,169.45,170.85,54288328,AAPL
2024-03-26,170.0,171.42,169.58,169.71,57388449,AAPL
2024-03-27,170.41,173.6,170.11,173.31,60273265,AAPL
2024-03-28,171.75,172.23,170.51,171.48,65672690,AAPL
2024-04-01,171.19,171.25,169.475,170.03,43772506,AAPL
2024-04-02,169.08,169.34,168.2302,168.84,49013991,AAPL
2024-04-03,168.79,170.68,168.58,169.65,45571129,AAPL
2024-04-04,170.29,171.92,168.82,168.82,53355055,AAPL
2024-04-05,169.59,170.39,168.95,169.58,41975776,AAPL
2024-04-08,169.03,169.2,168.24,168.45,37216858,AAPL
2024-04-09,168.7,170.08,168.35,169.67,42231444,AAPL
2024-04-10,168.8,169.09,167.11,167.78,49709336,AAPL
2024-04-11,168.34,175.46,168.16,175.04,91070275,AAPL
2024-04-12,174.26,178.36,174.21,176.55,101670886,AAPL
2024-04-15,175.36,176.63,172.5,172.69,73531773,AAPL
2024-04-16,171.75,173.76,168.27,169.38,73711235,AAPL
2024-04-17,169.61,170.65,168.0,168.0,50901210,AAPL
2024-04-18,168.03,168.64,166.55,167.04,43122903,AAPL
2024-04-19,166.21,166.4,164.075,165.0,68149377,AAPL
2024-04-22,165.515,167.26,164.77,165.84,48116443,AAPL
2024-04-23,165.35,167.05,164.92,166.9,49537761,AAPL
2024-04-24,166.54,169.3,166.21,169.02,48251835,AAPL
2024-04-25,169.525,170.61,168.1511,169.89,50558329,AAPL
2024-04-26,169.88,171.34,169.18,169.3,44838354,AAPL
2024-04-29,173.37,176.03,173.1,173.5,68169419,AAPL
2024-04-30,173.33,174.99,170.0,170.33,65934776,AAPL
2024-05-01,169.58,172.705,169.11,169.3,50383147,AAPL
2024-05-02,172.51,173.415,170.89,173.03,94214915,AAPL
2024-05-03,186.645,187.0,182.66,183.38,163224109,AAPL
2024-05-06,182.354,184.2,180.42,181.71,78569667,AAPL
2024-05-07,183.45,184.9,181.32,182.4,77305771,AAPL
2024-05-08,182.85,183.07,181.45,182.74,45057087,AAPL
2024-05-09,182.56,184.66,182.11,184.57,48982972,AAPL
2024-05-10,184.9,185.09,182.13,183.05,50759496,AAPL
2024-05-13,185.435,187.1,184.62,186.28,72044809,AAPL
2024-05-14,187.51,188.3,186.29,187.43,52393619,AAPL
2024-05-15,187.91,190.65,187.37,189.72,70399988,AAPL
2024-05-16,190.47,191.095,189.6601,189.84,52845230,AAPL
2024-05-17,189.51,190.81,189.18,189.87,41282925,AAPL
2024-05-20,189.325,191.9199,189.01,191.04,44361275,AAPL
2024-05-21,191.09,192.73,190.9201,192.35,42309401,AAPL
2024-05-22,192.265,192.8231,190.27,190.9,34648547,AAPL
2024-05-23,190.98,191.0,186.625,186.88,51005924,AAPL
2024-05-24,188.82,190.58,188.0404,189.98,36326975,AAPL
2024-05-28,191.51,193.0,189.1,189.99,52280051,AAPL
2024-05-29,189.61,192.247,189.51,190.29,53068016,AAPL
2024-05-30,190.76,192.18,190.63,191.29,49947941,AAPL
2024-05-31,191.44,192.57,189.91,192.25,75158277,AAPL
2024-06-03,192.9,194.99,192.52,194.03,50080539,AAPL
2024-06-04,194.635,195.32,193.0342,194.35,47471445,AAPL
2024-06-05,195.4,196.9,194.87,195.87,54156785,AAPL
2024-06-06,195.685,196.5,194.17,194.48,41181753,AAPL
2024-06-07,194.65,196.94,194.14,196.89,53103912,AAPL
2024-06-10,196.9,197.3,192.15,193.12,97262077,AAPL
2024-06-11,193.65,207.16,193.63,207.15,172373296,AAPL
2024-06-12,207.37,220.2,206.9,213.07,198134293,AAPL
2024-06-13,214.74,216.75,211.6,214.24,97862729,AAPL
2024-06-14,213.85,215.17,211.3,212.49,70122748,AAPL
2024-06-17,213.37,218.95,212.72,216.67,93728300,AAPL
2024-06-18,217.59,218.63,213.0,214.29,79943254,AAPL
2024-06-20,213.93,214.24,208.85,209.68,86172451,AAPL
2024-06-21,210.39,211.89,207.11,207.49,246421353,AAPL
2024-06-24,207.72,212.7,206.59,208.14,80727006,AAPL
2024-06-25,209.15,211.38,208.61,209.07,56713868,AAPL
2024-06-26,211.5,214.86,210.64,213.25,66213186,AAPL
2024-06-27,214.69,215.7395,212.35,214.1,49772707,AAPL
2024-06-28,215.77,216.07,210.3,210.62,82542718,AAPL
2024-07-01,212.09,217.51,211.92,216.75,60402929,AAPL
2024-07-02,216.15,220.38,215.1,220.27,58046178,AAPL
2024-07-03,220.0,221.55,219.03,221.55,37369801,AAPL
2024-07-05,221.65,226.45,221.65,226.34,60412408,AAPL
2024-07-08,227.09,227.85,223.25,227.82,59085861,AAPL
2024-07-09,227.93,229.4,226.3721,228.68,48169822,AAPL
2024-07-10,229.3,233.08,229.25,232.98,62627687,AAPL
2024-07-11,231.39,232.39,225.77,227.57,64710617,AAPL
2024-07-12,228.92,232.64,228.68,230.54,53046527,AAPL
2024-07-15,236.48,237.23,233.09,234.4,62631252,AAPL
2024-07-16,235.0,236.27,232.33,234.82,43234278,AAPL
