open,high,low,close,volume,symbol
277.94,281.06,275.2,277.66,36610879.0,MSFT
277.24,280.63,275.28,280.57,28199962.0,MSFT
280.5,281.4589,275.52,276.38,26840212.0,MSFT
275.79,276.14,272.0451,275.23,21878647.0,MSFT
278.96,281.1398,278.41,280.51,25087032.0,MSFT
284.23,284.46,281.48,284.05,25053410.0,MSFT
283.73,289.27,283.0,288.3,32765976.0,MSFT
286.52,288.27,283.95,287.23,24743342.0,MSFT
287.23,290.4499,285.67,287.18,25824299.0,MSFT
285.85,287.15,282.92,284.34,22064770.0,MSFT
283.21,292.08,282.03,291.6,29770334.0,MSFT
289.208,289.6,284.71,289.39,23095494.0,MSFT
285.75,285.98,281.64,282.83,27011589.0,MSFT
284.79,287.01,281.96,283.49,27392932.0,MSFT
283.59,289.9,283.17,289.84,24212878.0,MSFT
287.0,288.48,283.69,286.14,20982817.0,MSFT
289.93,291.6,286.16,288.8,23836223.0,MSFT
291.57,291.755,287.01,288.37,20129345.0,MSFT
285.99,289.05,284.54,288.45,17150271.0,MSFT
285.25,289.03,285.08,286.11,23244363.0,MSFT
285.01,286.27,283.0608,285.76,21676387.0,MSFT
282.09,284.95,278.72,281.77,26611014.0,MSFT
279.51,281.6,275.37,275.42,45759736.0,MSFT
296.7,299.57,292.73,295.37,64542982.0,MSFT
295.97,305.2,295.25,304.83,46462608.0,MSFT
304.01,308.93,303.31,307.26,36469613.0,MSFT
306.97,308.6,305.15,305.56,21267115.0,MSFT
307.76,309.18,303.91,305.41,26404431.0,MSFT
306.62,308.61,304.09,304.4,22360754.0,MSFT
306.24,307.7626,303.4,305.41,22519907.0,MSFT
305.72,311.97,304.27,310.65,28196052.0,MSFT
310.13,310.2,306.09,308.65,21308813.0,MSFT
308.0,310.04,306.31,307.0,21340829.0,MSFT
308.62,313.0,307.67,312.31,30078044.0,MSFT
310.1,311.12,306.2601,310.11,31680179.0,MSFT
310.55,310.65,306.6,308.97,19672946.0,MSFT
309.095,309.905,307.59,309.46,16336547.0,MSFT
309.83,313.71,309.83,311.74,25680347.0,MSFT
312.29,314.43,310.74,314.0,24315012.0,MSFT
314.53,319.04,313.72,318.52,27275991.0,MSFT
316.74,318.75,316.37,318.34,27543551.0,MSFT
318.6,322.59,318.01,321.18,24115664.0,MSFT
320.03,322.72,315.25,315.26,30797173.0,MSFT
314.73,316.5,312.61,313.85,23384887.0,MSFT
323.24,326.9,320.0,325.92,43205743.0,MSFT
324.02,333.4,323.88,332.89,36630633.0,MSFT
335.23,335.74,330.52,331.21,29503070.0,MSFT
332.29,335.94,327.33,328.39,45950553.0,MSFT
325.93,333.53,324.72,332.58,26773851.0,MSFT
334.247,337.5,332.55,335.4,25853669.0,MSFT
335.22,338.5599,334.6601,335.94,21307053.0,MSFT
335.33,335.37,332.17,333.68,20396223.0,MSFT
331.65,334.49,322.5,323.38,40706629.0,MSFT
323.935,326.64,323.35,325.26,23260258.0,MSFT
324.99,329.99,324.41,326.79,22528950.0,MSFT
328.58,332.0999,325.16,331.85,24281753.0,MSFT
334.465,336.98,330.39,334.29,22801279.0,MSFT
334.34,339.04,332.81,337.34,26003791.0,MSFT
337.48,349.84,337.2,348.1,38852845.0,MSFT
351.32,351.47,341.95,342.33,46546285.0,MSFT
339.31,342.08,335.86,338.05,26333307.0,MSFT
336.37,337.73,332.07,333.56,25117799.0,MSFT
334.12,340.12,333.34,339.71,23556764.0,MSFT
334.36,337.96,333.45,335.02,23146901.0,MSFT
333.72,336.11,328.49,328.6,21520582.0,MSFT
331.86,336.15,329.3,334.57,24353972.0,MSFT
334.66,337.98,333.81,335.85,20259523.0,MSFT
334.71,336.11,332.62,335.05,16997042.0,MSFT
337.75,342.73,337.2,340.54,26832756.0,MSFT
339.19,340.9,336.571,337.99,12507092.0,MSFT
335.09,341.65,334.7276,338.15,18172378.0,MSFT
337.3,342.99,335.5,341.27,28195534.0,MSFT
339.32,341.79,337.0,337.22,21208974.0,MSFT
334.6,335.23,327.59,331.83,32739449.0,MSFT
331.06,332.86,327.0,332.47,26698218.0,MSFT
336.6,341.652,335.67,337.2,29995262.0,MSFT
339.56,343.74,339.02,342.66,20567159.0,MSFT
347.59,351.43,344.31,345.24,28349069.0,MSFT
345.678,346.99,342.2,345.73,20363927.0,MSFT
345.83,366.78,342.17,359.49,64851305.0,MSFT
361.75,362.46,352.435,355.08,39720401.0,MSFT
353.57,357.97,345.37,346.87,33729395.0,MSFT
349.15,350.3,339.83,343.77,69402882.0,MSFT
345.85,346.92,342.31,345.11,26724646.0,MSFT
347.11,351.89,345.07,350.98,41614439.0,MSFT
341.44,344.67,333.11,337.77,58383702.0,MSFT
340.48,341.33,329.05,330.72,39611012.0,MSFT
333.67,340.01,333.17,338.37,28449068.0,MSFT
336.92,337.695,333.36,335.92,25445972.0,MSFT
335.19,338.54,333.7,336.34,18381253.0,MSFT
333.63,333.63,326.3551,327.5,27759757.0,MSFT
326.0,329.88,325.95,326.66,18360352.0,MSFT
331.88,335.14,327.24,327.78,23741484.0,MSFT
328.37,331.11,327.52,330.11,17023526.0,MSFT
326.96,328.75,323.0,326.05,22274170.0,MSFT
326.47,327.11,321.0499,322.23,22339508.0,MSFT
326.015,328.26,321.18,322.93,20103165.0,MSFT
320.26,322.41,319.21,321.01,24355491.0,MSFT
321.39,324.06,320.08,324.04,18814579.0,MSFT
323.0,325.09,320.9034,321.86,16813785.0,MSFT
320.8,324.42,319.8035,320.4,20698864.0,MSFT
320.54,321.87,316.21,316.88,21257161.0,MSFT
314.49,318.38,311.5508,316.48,24751706.0,MSFT
317.93,322.77,317.04,321.88,23989956.0,MSFT
325.5,326.075,321.46,322.46,16018024.0,MSFT
323.82,329.2,323.46,327.0,21164682.0,MSFT
332.85,332.98,319.96,319.97,23277194.0,MSFT
321.47,325.36,318.8001,322.98,21684104.0,MSFT
325.66,326.15,321.722,323.7,14808482.0,MSFT
321.88,328.9835,321.88,328.41,19284590.0,MSFT
328.67,329.81,326.445,328.79,15222110.0,MSFT
329.2,330.9099,326.78,327.76,26403154.0,MSFT
331.31,331.99,326.78,328.66,14886424.0,MSFT
329.0,334.85,328.66,333.55,18553859.0,MSFT
333.38,334.46,330.18,332.88,17535773.0,MSFT
331.29,333.08,329.03,329.91,18369595.0,MSFT
330.09,336.16,329.46,334.27,19548165.0,MSFT
337.24,338.42,335.43,337.94,16583324.0,MSFT
335.815,336.79,331.48,331.77,17562282.0,MSFT
331.31,336.85,331.17,336.06,16544412.0,MSFT
339.148,340.86,336.57,338.7,20263548.0,MSFT
336.92,337.3975,329.65,330.22,37503592.0,MSFT
327.8,330.4,326.36,329.06,16834208.0,MSFT
326.17,329.39,324.51,328.65,16514487.0,MSFT
329.51,329.59,320.51,320.77,21399225.0,MSFT
319.26,325.3499,315.0,319.53,35560362.0,MSFT
321.32,321.45,316.15,317.01,21436887.0,MSFT
316.59,317.67,315.0,317.54,17835964.0,MSFT
315.13,315.88,310.02,312.14,25647573.0,MSFT
312.3,314.299,309.69,312.79,19370182.0,MSFT
310.99,315.48,309.45,313.64,19681064.0,MSFT
317.75,319.47,314.98,315.75,24147298.0,MSFT
316.28,321.888,315.18,321.8,20570006.0,MSFT
320.83,321.39,311.215,313.39,21027792.0,MSFT
314.03,320.04,314.0,318.955,20717444.0,MSFT
319.09,319.98,314.9,319.36,16965629.0,MSFT
316.55,329.19,316.3,327.26,25673630.0,MSFT
324.75,330.3,323.18,329.82,19891180.0,MSFT
330.96,331.1,327.67,328.39,20557094.0,MSFT
331.21,332.82,329.14,332.42,20063246.0,MSFT
330.565,333.6299,328.72,331.16,19313098.0,MSFT
332.38,333.83,326.36,327.73,20983805.0,MSFT
331.05,336.14,330.6,332.64,22153713.0,MSFT
329.59,333.46,327.41,332.06,18238523.0,MSFT
332.49,335.59,328.3,330.11,23145202.0,MSFT
332.15,336.88,330.91,331.32,25049471.0,MSFT
331.72,331.92,325.45,326.67,25020125.0,MSFT
325.47,332.725,324.39,329.32,23974748.0,MSFT
331.3,331.84,327.6,330.53,31153571.0,MSFT
345.02,346.2,337.62,340.67,55053828.0,MSFT
340.54,341.63,326.94,327.89,37810293.0,MSFT
330.425,336.72,328.4007,329.81,29791522.0,MSFT
333.41,339.45,330.52,337.31,22829326.0,MSFT
338.85,339.0,334.69,338.11,20265282.0,MSFT
339.79,347.42,339.65,346.07,28158819.0,MSFT
347.24,348.83,344.77,348.32,24348072.0,MSFT
349.63,354.39,347.33,352.8,23537673.0,MSFT
353.45,357.54,353.35,356.53,23828301.0,MSFT
359.4,362.46,357.63,360.53,25823931.0,MSFT
361.68,363.87,360.55,363.2,26743428.0,MSFT
362.3,364.79,360.362,360.69,24847331.0,MSFT
361.49,370.1,361.07,369.67,28036164.0,MSFT
368.22,368.47,365.9,366.68,19986506.0,MSFT
371.01,371.95,367.3454,370.27,27683862.0,MSFT
371.28,373.13,367.11,369.67,26856895.0,MSFT
370.96,376.35,370.18,376.17,27182315.0,MSFT
373.61,374.37,367.0,369.85,39800371.0,MSFT
371.22,378.87,371.0,377.44,52528964.0,MSFT
375.67,376.2215,371.12,373.07,28422845.0,MSFT
378.0,379.7899,374.965,377.85,23173184.0,MSFT
377.33,377.97,375.135,377.43,10026649.0,MSFT
376.78,380.64,376.2,378.61,22179228.0,MSFT
378.35,383.0,378.16,382.7,20354067.0,MSFT
383.76,384.3,377.44,378.85,28963399.0,MSFT
378.49,380.09,375.47,378.91,30545295.0,MSFT
376.76,378.16,371.31,374.51,33036672.0,MSFT
369.1,369.52,362.9,369.14,32063301.0,MSFT
366.45,373.075,365.621,372.52,23017535.0,MSFT
373.54,374.18,368.03,368.8,21174417.0,MSFT
368.23,371.4527,366.32,370.95,23118104.0,MSFT
369.2,374.46,368.23,374.23,20142366.0,MSFT
368.48,371.6,366.1,371.3,27708757.0,MSFT
370.85,374.42,370.46,374.38,24834333.0,MSFT
376.02,377.6361,370.77,374.37,30605531.0,MSFT
373.31,373.76,364.13,365.93,43270261.0,MSFT
366.85,372.4,366.28,370.73,78502324.0,MSFT
369.45,373.0,368.68,372.65,21802878.0,MSFT
371.49,373.26,369.84,373.26,20593658.0,MSFT
375.0,376.03,370.53,370.62,26316623.0,MSFT
372.56,374.41,370.04,373.54,17608006.0,MSFT
373.68,375.18,372.71,374.58,17102684.0,MSFT
375.0,376.94,373.5,374.66,12673050.0,MSFT
373.69,375.06,372.8116,374.07,14905412.0,MSFT
375.37,376.458,374.16,375.28,14327013.0,MSFT
376.0,377.16,373.48,376.04,18730838.0,MSFT
